JD,Magnitude,Uncertainty,HQuncertainty,Band,Observer Code,Comment Code(s),Comp Star 1,Comp Star 2,Charts,Comments,Transfomed,Airmass,Validation Flag,Cmag,Kmag,HJD,Star Name,Observer Affiliation,Measurement Method,Grouping Method,ADS Reference,Digitizer,Credit
2456682.59685,10.90,0.03,,CV,GJP,,000-BLG-312,000-BLG-313,13175CXC,,0,1.676,Z,9.179,9.740,,SN 2014J,AAVSO,STD,,,,
2456682.59720,10.87,0.03,,CV,GJP,,000-BLG-312,000-BLG-313,13175CXC,,0,1.674,Z,9.197,9.728,,SN 2014J,AAVSO,STD,,,,
2456682.59757,10.87,0.03,,CV,GJP,,000-BLG-312,000-BLG-313,13175CXC,,0,1.673,Z,9.191,9.740,,SN 2014J,AAVSO,STD,,,,
2456682.59792,10.88,0.03,,CV,GJP,,000-BLG-312,000-BLG-313,13175CXC,,0,1.671,Z,9.196,9.741,,SN 2014J,AAVSO,STD,,,,
2456682.59829,10.87,0.03,,CV,GJP,,000-BLG-312,000-BLG-313,13175CXC,,0,1.670,Z,9.197,9.746,,SN 2014J,AAVSO,STD,,,,
2456682.59841,11.109,0.002,,V,KPK,,ENSEMBLE,133,13198CZR,,0,,Z,,13.281,,SN 2014J,AAVSO,STD,0,,,
2456682.598414,11.131,0.002,,V,KPK,,000-BLG-312,000-BLG-313,13177LY,,0,,Z,9.282,9.949,,SN 2014J,AAVSO,STD,,,,
2456682.59865,10.88,0.03,,CV,GJP,,000-BLG-312,000-BLG-313,13175CXC,,0,1.668,Z,9.195,9.737,,SN 2014J,AAVSO,STD,,,,
2456682.59901,10.88,0.03,,CV,GJP,,000-BLG-312,000-BLG-313,13175CXC,,0,1.667,Z,9.192,9.730,,SN 2014J,AAVSO,STD,,,,
2456682.59937,10.87,0.03,,CV,GJP,,000-BLG-312,000-BLG-313,13175CXC,,0,1.665,Z,9.193,9.732,,SN 2014J,AAVSO,STD,,,,
2456682.59974,10.87,0.03,,CV,GJP,,000-BLG-312,000-BLG-313,13175CXC,,0,1.664,Z,9.207,9.753,,SN 2014J,AAVSO,STD,,,,
2456682.60010,10.87,0.03,,CV,GJP,,000-BLG-312,000-BLG-313,13175CXC,,0,1.662,Z,9.208,9.741,,SN 2014J,AAVSO,STD,,,,
2456682.60046,10.87,0.03,,CV,GJP,,000-BLG-312,000-BLG-313,13175CXC,,0,1.661,Z,9.198,9.736,,SN 2014J,AAVSO,STD,,,,
2456682.60082,10.87,0.03,,CV,GJP,,000-BLG-312,000-BLG-313,13175CXC,,0,1.659,Z,9.205,9.743,,SN 2014J,AAVSO,STD,,,,
2456682.60119,10.87,0.03,,CV,GJP,,000-BLG-312,000-BLG-313,13175CXC,,0,1.658,Z,9.205,9.752,,SN 2014J,AAVSO,STD,,,,
2456682.60142,11.101,0.002,,V,KPK,,ENSEMBLE,133,13198CZR,,0,,Z,,13.273,,SN 2014J,AAVSO,STD,0,,,
2456682.601424,11.125,0.002,,V,KPK,,000-BLG-312,000-BLG-313,13177LY,,0,,Z,9.373,10.032,,SN 2014J,AAVSO,STD,,,,
2456682.60154,10.88,0.03,,CV,GJP,,000-BLG-312,000-BLG-313,13175CXC,,0,1.656,Z,9.209,9.753,,SN 2014J,AAVSO,STD,,,,
2456682.60190,10.88,0.03,,CV,GJP,,000-BLG-312,000-BLG-313,13175CXC,,0,1.655,Z,9.214,9.754,,SN 2014J,AAVSO,STD,,,,
2456682.60226,10.88,0.03,,CV,GJP,,000-BLG-312,000-BLG-313,13175CXC,,0,1.654,Z,9.218,9.757,,SN 2014J,AAVSO,STD,,,,
2456682.60263,10.89,0.03,,CV,GJP,,000-BLG-312,000-BLG-313,13175CXC,,0,1.652,Z,9.219,9.762,,SN 2014J,AAVSO,STD,,,,
