JD,Magnitude,Uncertainty,HQuncertainty,Band,Observer Code,Comment Code(s),Comp Star 1,Comp Star 2,Charts,Comments,Transfomed,Airmass,Validation Flag,Cmag,Kmag,HJD,Star Name,Observer Affiliation,Measurement Method,Grouping Method,ADS Reference,Digitizer,Credit
2457129.49065,14.346,0.015,,V,HMB,,000-BLP-866,000-BLP-868,14641ADA,STANDARD MAG: C = 13.613  K = 14.324,0,1.49,Z,18.651,19.348,,SN 2015F,VVS,STD,,,,
2457130.48929,14.422,0.019,,V,HMB,,000-BLP-866,000-BLP-868,14641ADA,STANDARD MAG: C = 13.613  K = 14.324,0,1.49,Z,18.707,19.410,,SN 2015F,VVS,STD,,,,
2457130.49005,14.361,0.019,,V,HMB,,000-BLP-866,000-BLP-868,14641ADA,STANDARD MAG: C = 13.613  K = 14.324,0,1.50,Z,18.704,19.385,,SN 2015F,VVS,STD,,,,
2457131.232,13.81,0.10,,CR,MLF,,2UCAC01809744,2UCAC01683356,BERTO'S CHART,SN IN NGC 2442,0,,Z,14.1,14.3,,SN 2015F,,STD,,,,
2457131.49575,14.393,0.066,,V,HMB,,000-BLP-866,000-BLP-868,14641ADA,STANDARD MAG: C = 13.613  K = 14.324,0,1.51,Z,20.482,21.196,,SN 2015F,VVS,STD,,,,
2457131.49649,14.955,0.205,,V,HMB,,000-BLP-866,000-BLP-868,14641ADA,STANDARD MAG: C = 13.613  K = 14.324,0,1.51,Z,21.255,22.245,,SN 2015F,VVS,STD,,,,
2457132.48777,14.486,0.017,,V,HMB,,000-BLP-866,000-BLP-868,14641ADA,STANDARD MAG: C = 13.613  K = 14.324,0,1.50,Z,18.691,19.359,,SN 2015F,VVS,STD,,,,
2457132.48851,14.528,0.018,,V,HMB,,000-BLP-866,000-BLP-868,14641ADA,STANDARD MAG: C = 13.613  K = 14.324,0,1.50,Z,18.679,19.369,,SN 2015F,VVS,STD,,,,
2457133.226,13.90,0.10,,CR,MLF,,2UCAC01809744,2UCAC01683356,BERTO'S CHART,SN IN NGC 2442,0,,Z,14.1,14.3,,SN 2015F,,STD,,,,
2457133.48713,14.547,0.023,,V,HMB,,000-BLP-866,000-BLP-868,14641ADA,STANDARD MAG: C = 13.613  K = 14.324,0,1.50,Z,18.704,19.397,,SN 2015F,VVS,STD,,,,
2457133.48788,14.541,0.025,,V,HMB,,000-BLP-866,000-BLP-868,14641ADA,STANDARD MAG: C = 13.613  K = 14.324,0,1.51,Z,18.716,19.390,,SN 2015F,VVS,STD,,,,
