JD,Magnitude,Uncertainty,HQuncertainty,Band,Observer Code,Comment Code(s),Comp Star 1,Comp Star 2,Charts,Comments,Transfomed,Airmass,Validation Flag,Cmag,Kmag,HJD,Star Name,Observer Affiliation,Measurement Method,Grouping Method,ADS Reference,Digitizer,Credit
2457891.96868,12.895,0.022,,V,FJQ,,000-BCL-945,000-BCL-940,X19014BFK,|VMAGINS=13.793|VERR=0.021|CREFMAG=12.959|CREFERR=0.039|KREFMAG=13.438|KREFERR=0.034|VX=0.0000|CX=0.0000|KX=0.0000|TV_BV=-0.0500|TV_BVERR=0.0170|TAVER=2.49,1,1.152,Z,13.876,14.328,,SN 2017EAW,AAVSO,STD,113,,,
2457891.96924,12.846,0.024,,V,FJQ,,000-BCL-945,000-BCL-940,X19014BFK,|VMAGINS=13.763|VERR=0.023|CREFMAG=12.959|CREFERR=0.039|KREFMAG=13.438|KREFERR=0.034|VX=0.0000|CX=0.0000|KX=0.0000|TV_BV=-0.0500|TV_BVERR=0.0170|TAVER=2.49,1,1.151,Z,13.892,14.344,,SN 2017EAW,AAVSO,STD,114,,,
2457891.97014,12.326,0.014,,I,FJQ,,000-BCL-945,000-BCL-940,X19014BFK,|VMAGINS=14.340|VERR=0.012|CREFMAG=12.218|CREFERR=0.039|KREFMAG=12.395|KREFERR=0.098|VX=0.0000|CX=0.0000|KX=0.0000|TI_VI=-0.1300|TI_VIERR=0.0220|TAVER=2.49,1,1.150,Z,14.256,14.501,,SN 2017EAW,AAVSO,STD,110,,,
2457891.97069,12.318,0.018,,I,FJQ,,000-BCL-945,000-BCL-940,X19014BFK,|VMAGINS=14.333|VERR=0.012|CREFMAG=12.218|CREFERR=0.039|KREFMAG=12.395|KREFERR=0.098|VX=0.0000|CX=0.0000|KX=0.0000|TI_VI=-0.1300|TI_VIERR=0.0220|TAVER=2.49,1,1.150,Z,14.261,14.501,,SN 2017EAW,AAVSO,STD,111,,,
2457891.97126,12.320,0.012,,I,FJQ,,000-BCL-945,000-BCL-940,X19014BFK,|VMAGINS=14.323|VERR=0.011|CREFMAG=12.218|CREFERR=0.039|KREFMAG=12.395|KREFERR=0.098|VX=0.0000|CX=0.0000|KX=0.0000|TI_VI=-0.1300|TI_VIERR=0.0220|TAVER=2.49,1,1.149,Z,14.246,14.501,,SN 2017EAW,AAVSO,STD,112,,,
2457891.97370,13.044,0.017,,B,FJQ,,000-BCL-945,000-BCL-940,X19014BFK,|VMAGINS=13.643|VERR=0.014|CREFMAG=13.482|CREFERR=0.055|KREFMAG=14.139|KREFERR=0.048|VX=0.0000|CX=0.0000|KX=0.0000|TB_BV=0.2950|TB_BVERR=0.0110|TAVER=2.49,1,1.146,Z,13.985,14.598,,SN 2017EAW,AAVSO,STD,114,,,
2457891.97458,12.848,0.021,,V,FJQ,,000-BCL-945,000-BCL-940,X19014BFK,|VMAGINS=13.765|VERR=0.020|CREFMAG=12.959|CREFERR=0.039|KREFMAG=13.438|KREFERR=0.034|VX=0.0000|CX=0.0000|KX=0.0000|TV_BV=-0.0500|TV_BVERR=0.0170|TAVER=2.49,1,1.145,Z,13.894,14.419,,SN 2017EAW,AAVSO,STD,115,,,
2457891.97514,12.886,0.021,,V,FJQ,,000-BCL-945,000-BCL-940,X19014BFK,|VMAGINS=13.780|VERR=0.020|CREFMAG=12.959|CREFERR=0.039|KREFMAG=13.438|KREFERR=0.034|VX=0.0000|CX=0.0000|KX=0.0000|TV_BV=-0.0500|TV_BVERR=0.0170|TAVER=2.49,1,1.144,Z,13.875,14.359,,SN 2017EAW,AAVSO,STD,116,,,
2457891.97571,12.896,0.021,,V,FJQ,,000-BCL-945,000-BCL-940,X19014BFK,|VMAGINS=13.765|VERR=0.020|CREFMAG=12.959|CREFERR=0.039|KREFMAG=13.438|KREFERR=0.034|VX=0.0000|CX=0.0000|KX=0.0000|TV_BV=-0.0500|TV_BVERR=0.0170|TAVER=2.49,1,1.144,Z,13.851,14.343,,SN 2017EAW,AAVSO,STD,117,,,
2457891.97650,12.323,0.013,,I,FJQ,,000-BCL-945,000-BCL-940,X19014BFK,|VMAGINS=14.324|VERR=0.012|CREFMAG=12.218|CREFERR=0.039|KREFMAG=12.395|KREFERR=0.098|VX=0.0000|CX=0.0000|KX=0.0000|TI_VI=-0.1300|TI_VIERR=0.0220|TAVER=2.49,1,1.143,Z,14.241,14.492,,SN 2017EAW,AAVSO,STD,113,,,
2457891.97706,12.287,0.012,,I,FJQ,,000-BCL-945,000-BCL-940,X19014BFK,|VMAGINS=14.289|VERR=0.011|CREFMAG=12.218|CREFERR=0.039|KREFMAG=12.395|KREFERR=0.098|VX=0.0000|CX=0.0000|KX=0.0000|TI_VI=-0.1300|TI_VIERR=0.0220|TAVER=2.49,1,1.142,Z,14.244,14.452,,SN 2017EAW,AAVSO,STD,114,,,
2457891.97763,12.321,0.011,,I,FJQ,,000-BCL-945,000-BCL-940,X19014BFK,|VMAGINS=14.302|VERR=0.010|CREFMAG=12.218|CREFERR=0.039|KREFMAG=12.395|KREFERR=0.098|VX=0.0000|CX=0.0000|KX=0.0000|TI_VI=-0.1300|TI_VIERR=0.0220|TAVER=2.49,1,1.141,Z,14.227,14.454,,SN 2017EAW,AAVSO,STD,115,,,
2457892.00376,12.896,0.032,,V,FJQ,,000-BCL-945,000-BCL-940,X19014BFK,|VMAGINS=13.727|VERR=0.031|CREFMAG=12.959|CREFERR=0.039|KREFMAG=13.438|KREFERR=0.034|VX=0.0000|CX=0.0000|KX=0.0000|TV_BV=-0.0500|TV_BVERR=0.0170|TAVER=2.49,1,1.120,Z,13.811,14.357,,SN 2017EAW,AAVSO,STD,118,,,
2457892.00432,12.868,0.034,,V,FJQ,,000-BCL-945,000-BCL-940,X19014BFK,|VMAGINS=13.757|VERR=0.033|CREFMAG=12.959|CREFERR=0.039|KREFMAG=13.438|KREFERR=0.034|VX=0.0000|CX=0.0000|KX=0.0000|TV_BV=-0.0500|TV_BVERR=0.0170|TAVER=2.49,1,1.119,Z,13.866,14.353,,SN 2017EAW,AAVSO,STD,119,,,
2457892.00522,12.347,0.036,,I,FJQ,,000-BCL-945,000-BCL-940,X19014BFK,|VMAGINS=14.308|VERR=0.035|CREFMAG=12.218|CREFERR=0.039|KREFMAG=12.395|KREFERR=0.098|VX=0.0000|CX=0.0000|KX=0.0000|TI_VI=-0.1300|TI_VIERR=0.0220|TAVER=2.49,1,1.119,Z,14.205,14.489,,SN 2017EAW,AAVSO,STD,116,,,
